host_time_s,front_ps_data,rear_ps_data
0.0,46.0,43.0
0.00258880000001227,46.0,40.0
0.005598900000222784,46.0,40.0
0.010132899999916845,45.0,45.0
0.012577399999827321,45.0,45.0
0.015558600000076694,45.0,49.0
0.018570000000181608,45.0,49.0
0.021617800000058196,45.0,49.0
0.024606300000414194,45.0,49.0
0.027586999999584805,47.0,52.0
0.032104099999742175,45.0,46.0
0.03655150000031426,45.0,46.0
0.03961020000042481,43.0,45.0
0.04259840000031545,43.0,45.0
0.04561680000006163,43.0,45.0
0.04864629999974568,43.0,45.0
0.05228540000007342,41.0,45.0
0.055602299999918614,41.0,45.0
0.05859080000027461,41.0,45.0
0.06155820000003587,41.0,45.0
0.06464700000015,42.0,45.0
0.06764019999991433,42.0,45.0
0.070565600000009,42.0,45.0
0.0743441000004168,45.0,45.0
0.07757039999978588,47.0,45.0
0.080596499999956,47.0,45.0
0.08355540000047768,47.0,45.0
0.08662840000033611,47.0,45.0
0.08968949999962206,47.0,45.0
0.09262779999971826,47.0,45.0
0.09627509999972972,45.0,45.0
0.09954500000003463,46.0,45.0
0.10256930000014108,46.0,45.0
0.10560400000031223,46.0,45.0
0.10856870000043273,46.0,45.0
0.11159279999992577,46.0,44.0
0.11484930000005988,46.0,44.0
0.11911539999982779,45.0,45.0
0.1216191000003164,45.0,45.0
0.12458799999967596,46.0,46.0
0.12758339999982127,46.0,46.0
0.1306723999996393,46.0,46.0
0.13466440000047442,46.0,45.0
0.13761479999993753,45.0,45.0
0.14071750000039174,45.0,45.0
0.14358919999995123,45.0,45.0
0.1466256000003341,45.0,46.0
0.14966850000018894,45.0,46.0
0.15258759999960603,45.0,46.0
0.1556284999996933,45.0,46.0
0.15937080000003334,45.0,45.0
0.1627725999996983,45.0,45.0
0.16562330000033398,45.0,45.0
0.16857789999994566,45.0,45.0
0.17163799999980256,45.0,45.0
0.17458369999985734,45.0,45.0
0.1775471999999354,45.0,45.0
0.18066129999988334,45.0,45.0
0.1836316999997507,45.0,44.0
0.18656989999999496,44.0,44.0
0.18969060000017635,44.0,44.0
0.19259909999982483,44.0,44.0
0.19562049999967712,44.0,44.0
0.198714199999813,45.0,44.0
0.20234220000020287,45.0,45.0
0.2056918999996924,45.0,45.0
0.20861770000010438,45.0,46.0
0.21159679999982473,46.0,46.0
0.21482000000014523,46.0,46.0
0.2176195000001826,46.0,46.0
0.22062459999960993,46.0,45.0
0.2236854000002495,45.0,45.0
0.2266018999998778,45.0,45.0
0.2296552999996493,45.0,45.0
0.2336052999999083,45.0,46.0
0.23654700000042794,45.0,46.0
0.23966310000014346,45.0,46.0
0.24259390000042913,45.0,46.0
0.24636139999984152,45.0,45.0
0.24965820000034,45.0,45.0
0.2525789999999688,45.0,45.0
0.2558316000004197,45.0,45.0
0.2586289000000761,46.0,45.0
0.2615869000001112,46.0,45.0
0.2647119000002931,46.0,45.0
0.2683156000002782,45.0,45.0
0.2715871000000334,45.0,45.0
0.2746330999998463,45.0,45.0
0.27757800000017596,45.0,45.0
0.2806538000004366,45.0,45.0
0.28356150000035996,44.0,45.0
0.2865810000002966,44.0,45.0
0.29039259999990463,45.0,45.0
0.2935622000004514,45.0,45.0
