host_time_s,front_ps_data,rear_ps_data
0.0,46.0,46.0
0.002976900000248861,46.0,46.0
0.005960600000435079,46.0,46.0
0.008967499999926076,46.0,46.0
0.01194370000030176,46.0,46.0
0.01642470000024332,45.0,45.0
0.01899310000044352,45.0,45.0
0.021916200000305253,45.0,45.0
0.024949600000581995,44.0,45.0
0.027944100000240724,44.0,45.0
0.030967600000622042,44.0,45.0
0.03404560000035417,44.0,45.0
0.03697850000025937,46.0,45.0
0.039951900000232854,46.0,45.0
0.04299840000021504,46.0,45.0
0.04592769999999291,46.0,45.0
0.048950600000353006,45.0,44.0
0.05201230000056967,45.0,44.0
0.054991400000290014,45.0,44.0
0.0587628000002951,45.0,45.0
0.06207950000043638,45.0,41.0
0.06496700000025157,45.0,41.0
0.0679974000004222,45.0,41.0
0.07096920000003593,45.0,41.0
0.07395280000037019,43.0,38.0
0.07704439999997703,43.0,38.0
0.08145320000039646,45.0,45.0
0.08398320000014792,40.0,29.0
0.08701680000012857,40.0,29.0
0.09087890000046173,40.0,29.0
0.09400379999988218,40.0,29.0
0.09695680000004359,19.0,19.0
0.10151050000058603,25.0,25.0
0.103950700000496,25.0,25.0
0.10697370000070805,25.0,25.0
0.10998820000077103,19.0,37.0
0.1129454000001715,19.0,37.0
0.11596170000029815,19.0,37.0
0.11900010000044858,19.0,37.0
0.12343910000072356,41.0,61.0
0.12602890000016487,41.0,61.0
0.12895930000013323,41.0,61.0
0.13197310000032303,41.0,64.0
0.13507470000058674,52.0,64.0
0.13794660000075964,52.0,64.0
0.14091319999988627,52.0,64.0
0.14549770000030549,51.0,57.0
0.14798030000019935,56.0,57.0
0.15099800000007235,56.0,57.0
0.1539784000005966,56.0,57.0
0.15695970000069792,58.0,57.0
0.16001159999996162,58.0,57.0
0.1629651000002923,58.0,57.0
0.1675570000006701,51.0,50.0
0.1699560000006386,51.0,50.0
0.17293010000048525,51.0,50.0
0.1759224000006725,51.0,50.0
0.17893780000031256,51.0,50.0
0.18196030000035535,51.0,49.0
0.18498690000069473,51.0,49.0
0.19050160000006144,45.0,45.0
0.1930478000003859,45.0,45.0
0.196012299999893,46.0,45.0
0.19896909999988566,46.0,45.0
0.20209370000065974,46.0,45.0
0.20490810000046622,46.0,46.0
0.20795799999996234,45.0,46.0
0.21192210000026535,45.0,45.0
0.2149360000003071,45.0,45.0
0.2179736000007324,45.0,45.0
0.22093610000047192,45.0,45.0
0.2239558000001125,45.0,45.0
0.22710670000014943,45.0,45.0
0.22994480000033946,45.0,44.0
0.2345232000006945,45.0,45.0
0.23690820000047097,45.0,45.0
0.23994910000055825,45.0,45.0
0.24296500000036758,47.0,45.0
0.24615630000062083,47.0,45.0
0.2489623000001302,47.0,45.0
0.25194770000052813,47.0,45.0
0.25646210000013525,45.0,45.0
0.25894590000007156,45.0,45.0
0.2619205000000875,45.0,45.0
0.26493269999991753,45.0,45.0
